;image_id;face_sunglasses;user_posted_photos;post_graduate;face_mustache;user_followed_by;face_beard;born;eyeglasses;college;female;income;emotion_score;PERMA;high_school;insta_user_id;user_follows
185;1244458303033351597_235671446;False;2997.0;False;False;1318.0;False;1987;False;True;False;55000;0.1887;6;False;235671446;936.0
186;1244993814102590243_451627351;False;348.0;False;False;274.0;False;1982;False;True;False;25000;0.17398;10;False;451627351;489.0
187;1245699421460819575_452851338;True;1207.0;False;False;287.0;False;1988;True;False;True;25000;0.17282;6;True;452851338;611.0
188;1246475455824183926_451627351;True;348.0;False;True;274.0;True;1982;False;True;False;25000;0.13844;10;False;451627351;489.0
189;1248566081537644169_650122500;False;398.0;False;False;133.0;False;1994;True;True;True;5000;0.1177;3;False;650122500;191.0
190;1249493821839277337_1619510;False;2037.0;False;False;364.0;False;1974;True;False;True;45000;0.1775;4;True;1619510;814.0
191;1249833630097112864_1619510;False;2037.0;False;False;364.0;False;1974;True;False;True;45000;0.1597;4;True;1619510;814.0
192;1251108060221437134_244047076;False;221.0;False;False;274.0;False;1985;False;True;False;45000;0.18788;7;False;244047076;289.0
193;1256784068002735626_145242840;False;339.0;False;False;1365.0;False;1984;False;True;True;55000;0.19024;8;False;145242840;1295.0
194;1259741690805068239_265063047;False;384.0;False;False;389.0;False;1993;False;False;True;85000;0.18982;4;True;265063047;32.0
195;1260954160804243379_421474712;False;20.0;True;True;259.0;True;1993;False;False;False;15000;0.15574;10;False;421474712;21.0
196;1260957137543734309_421474712;False;20.0;True;True;259.0;True;1993;False;False;False;15000;0.18542;10;False;421474712;21.0
197;1261964348116687239_53918317;False;105.0;False;False;100.0;False;1980;False;False;True;35000;0.15078;1;True;53918317;174.0
198;1263272063624974431_246095675;False;544.0;False;False;412.0;False;1992;True;True;True;45000;0.15278;6;False;246095675;461.0
199;1265674524482548022_52590715;False;464.0;False;False;105.0;False;1985;False;True;True;5000;0.22414;7;False;52590715;187.0
200;1265734565736980736_265063047;False;384.0;False;False;389.0;False;1993;False;False;True;85000;0.20776;4;True;265063047;32.0
201;1266026148306642090_145242840;False;339.0;False;False;1365.0;False;1984;False;True;True;55000;0.14534;8;False;145242840;1295.0
202;1266045800271134483_22180590;False;1365.0;False;True;890.0;True;1994;False;True;True;45000;0.2017;4;False;22180590;115.0
203;1268415501210985506_481709584;False;178.0;False;True;328.0;False;1997;False;False;True;15000;0.21682;9;True;481709584;432.0
204;1269010580931657875_451627351;False;348.0;False;False;274.0;False;1982;False;True;False;25000;0.21416;10;False;451627351;489.0
205;1269922234992447641_249861555;False;691.0;False;False;445.0;False;1989;False;False;True;125000;0.2141;6;True;249861555;5154.0
